Accuracy,Precision,Recall,F1,Sensitivity,Specificity,ROC_AUC,Kappa,MCC
0.9944,0.9944,0.9952,0.9948,0.9944,0.9936,0.9952,0.9888,0.9888
0.9954,0.9959,0.9954,0.9957,0.9954,0.9953,0.9954,0.9907,0.9907
0.9946,0.9951,0.9946,0.9949,0.9946,0.9945,0.9946,0.9891,0.9891
0.9947,0.9951,0.9949,0.995,0.9947,0.9945,0.9949,0.9893,0.9893
0.995,0.9936,0.9969,0.9953,0.9948,0.9927,0.9969,0.9899,0.9899
0.9942,0.9946,0.9944,0.9945,0.9941,0.9939,0.9944,0.9883,0.9883
0.994,0.9956,0.9931,0.9944,0.9941,0.995,0.9931,0.988,0.988
0.994,0.9931,0.9957,0.9944,0.9939,0.9921,0.9957,0.988,0.988
0.9958,0.9964,0.9957,0.996,0.9958,0.9959,0.9957,0.9915,0.9915
0.9944,0.9924,0.9972,0.9948,0.9942,0.9913,0.9972,0.9888,0.9888
